"","Serotype","overall.invasiveness","overall.invasiveness.low","overall.invasiveness.high","Serogroup","agegrp"
"1","20",0.000252633786893447,7.75479939969985e-05,0.000925963721860931,"NVT","children"
"2","3",0.000134075692846423,8.50516708354177e-05,0.000233624472236118,"VT13","children"
"3","37",1.45171085542771e-05,1.10153926963482e-05,0.000113065397698849,"NVT","children"
"4","38",0.000192104127063532,7.35460330165082e-05,0.000725365427713857,"NVT","children"
"5","8",0.000614811255627814,0.000303658789394697,0.000973487008504252,"NVT","children"
"6","NT",1.00149024512256e-05,1.00149024512256e-05,3.65278939469735e-05,"NVT","children"
"7","10A",4.55323061530765e-05,2.25210305152576e-05,0.000106562211105553,"NVT","children"
"8","11A",1.20158829414707e-05,1.00149024512256e-05,3.40266683341671e-05,"NVT","children"
"9","15A",3.15254427213607e-05,1.35166183091546e-05,0.000282148249124562,"NVT","children"
"10","15B/C",3.95293646823412e-05,2.25210305152576e-05,7.40462781390695e-05,"NVT","children"
"11","16F",3.15254427213607e-05,1.45171085542771e-05,8.15499549774887e-05,"NVT","children"
"12","18A",1.6017843921961e-05,1.10153926963482e-05,0.000117567603801901,"NVT","children"
"13","18C",0.0008204120010005,0.000611309539769885,0.000983491910955478,"VT7","children"
"14","19A",0.000341677418709355,0.000258636728364182,0.000454732816408204,"VT13","children"
"15","19F",0.000194105107553777,0.000158587703851926,0.000238626923461731,"VT7","children"
"16","22F",0.000265139914957479,0.000139078144072036,0.00062881811905953,"NVT","children"
"17","23A",0.000108062946473237,5.85386793396698e-05,0.000232623981990995,"NVT","children"
"18","23B",2.30212756378189e-05,1.15156378189095e-05,9.95587793896948e-05,"NVT","children"
"19","23F",0.000196606333166583,0.000161589174587294,0.000240127658829415,"VT7","children"
"20","24F",7.10448074037018e-05,2.40217658829415e-05,0.000481746053026513,"NVT","children"
"21","34",1.00149024512256e-05,1.05151475737869e-05,6.70428464232116e-05,"NVT","children"
"22","35F",1.40168634317159e-05,1.05151475737869e-05,4.55323061530765e-05,"NVT","children"
"23","6A",0.000156586723361681,0.00012507128064032,0.000198607313656828,"VT13","children"
"24","6B",0.000263639179589795,0.000224119814907454,0.000312162956478239,"VT7","children"
"25","9N",0.000245630355177589,0.000125571525762881,0.000658332581290645,"NVT","children"
"26","9V",0.000879440925462731,0.000609808804402201,0.000990995587793897,"VT7","children"
"27","17F",0.00033967643821911,0.000107062456228114,0.000961981370685343,"NVT","children"
"28","33F",7.65475037518759e-05,2.80237268634317e-05,0.000333673496748374,"NVT","children"
"29","21",1.00149024512256e-05,1.05151475737869e-05,0.000112064907453727,"NVT","children"
"30","35B",0.000119068339169585,3.25259329664832e-05,0.000830416903451726,"NVT","children"
"31","14",0.00119310416208104,0.00106554063531766,0.00134568014507254,"VT7","children"
"32","4",0.00108054972986493,0.000700359824912456,0.00184092953976988,"VT7","children"
"33","7F",0.00191096452226113,0.00109055472736368,0.00506253873436718,"VT10","children"
"34","18B",0.000260139934967484,9.00549774887444e-05,0.004032023991996,"NVT","children"
"35","31",0.000110064972486243,4.00299899949975e-05,0.000460239884942471,"NVT","children"
"36","13",0.000170094957478739,7.00449824912456e-05,0.000590304852426213,"NVT","children"
"37","12F",0.000250134937468734,0.000110064972486243,0.0104852473786893,"NVT","children"
"38","1",0.00360181054027014,0.00195098529264632,0.00955478643321661,"VT10","children"
"39","5",0.00170086025512756,0.000750385112556278,0.00695348604302151,"VT10","children"
"40","13",0.000698852436218109,0.000267140895447724,0.000981490930465233,"NVT","adults"
"41","14",0.00024613060030015,0.00022261907953977,0.000274644572286143,"VT7","adults"
"42","3",0.000371692126063032,0.000321167368684342,0.000431721540770385,"VT13","adults"
"43","31",0.000130573976988494,6.65426013006503e-05,0.000359185997999,"NVT","adults"
"44","34",2.75234817408704e-05,1.35166183091546e-05,7.10448074037018e-05,"NVT","adults"
"45","37",3.00247073536768e-05,1.40168634317159e-05,9.55568184092046e-05,"NVT","adults"
"46","38",0.000279647023511756,0.000149583291645823,0.000755380135067534,"NVT","adults"
"47","NT",2.8523971985993e-05,1.55175987993997e-05,6.30408854427214e-05,"NVT","adults"
"48","10A",4.90340220110055e-05,2.75234817408704e-05,0.000107562701350675,"NVT","adults"
"49","11A",5.05347573786893e-05,3.60276488244122e-05,7.45465232616308e-05,"NVT","adults"
"50","15B/C",2.45220110055028e-05,1.50173536768384e-05,4.35313256628314e-05,"NVT","adults"
"51","16F",5.25357378689345e-05,3.45269134567284e-05,8.15499549774887e-05,"NVT","adults"
"52","18C",0.000223619569784892,0.000155586233116558,0.000358685752876438,"VT7","adults"
"53","19A",9.95587793896948e-05,7.65475037518759e-05,0.000130073731865933,"VT13","adults"
"54","19F",3.7528384192096e-05,3.05249524762381e-05,4.70330415207604e-05,"VT7","adults"
"55","21",1.75185792896448e-05,1.10153926963482e-05,7.25455427713857e-05,"NVT","adults"
"56","22F",0.000314163936968484,0.000213114422211106,0.000529269339669835,"NVT","adults"
"57","23A",4.35313256628314e-05,2.40217658829415e-05,9.35558379189595e-05,"NVT","adults"
"58","23F",7.3045787893947e-05,6.15401500750375e-05,8.75528964482241e-05,"VT7","adults"
"59","33F",0.000129573486743372,5.85386793396698e-05,0.0006563316008004,"NVT","adults"
"60","35B",5.15352476238119e-05,2.45220110055028e-05,0.000148082556278139,"NVT","adults"
"61","35F",2.70232366183092e-05,1.65180890445223e-05,4.70330415207604e-05,"NVT","adults"
"62","6A",3.7528384192096e-05,2.90242171085543e-05,4.95342671335668e-05,"VT13","adults"
"63","6B",3.90291195597799e-05,3.2025687843922e-05,4.80335317658829e-05,"VT7","adults"
"64","7F",0.001,0.000601804882441221,0.000994497303651826,"VT10","adults"
"65","9N",0.000684345327663832,0.000390201195597799,0.00098049044022011,"NVT","adults"
"66","9V",0.000578793606803402,0.000504257083541771,0.000704355132566283,"VT7","adults"
"67","1",0.0015607896098049,0.000890454777388694,0.00447224388194097,"VT10","adults"
"68","20",0.00111056472236118,0.000600309849924962,0.00419210395197599,"NVT","adults"
"69","4",0.00129065467733867,0.00101051474737369,0.0023711944072036,"VT7","adults"
"70","8",0.0024312243921961,0.00185093453726863,0.00734367816408204,"NVT","adults"
"71","24F",0.000180099954977489,8.0049979989995e-05,0.000920469769884943,"NVT","adults"
"72","17F",0.000450234887443722,0.000220119944972486,0.00616308845922961,"NVT","adults"
"73","35A",0.000150084962481241,6.00399849924963e-05,0.0096048075987994,"NVT","adults"
